workDate,itemID,duration,rateApplied,payout,payType,projectName,status
"May 18, 2025","6829eb8af6bed0394bc9ae3b","-","-","$16.50","missionReward","-","processed"
"May 17, 2025","682993cad01021b928b25fb2","1h 15m 6s","$30.00/hr","$37.55","hubstaffOperation","-","processed"
"May 16, 2025","6828424ec2b6a9f2865c2f28","3h 48m 23s","$30.00/hr","$114.19","hubstaffOperation","-","processed"
"May 15, 2025","6826f11000a98615d22b4214","4h 48m 27s","$30.00/hr","$144.22","hubstaffOperation","-","processed"
"May 14, 2025","68259f4e98a4cd64c4770c37","2h 3m 7s","$30.00/hr","$61.56","hubstaffOperation","-","processed"
"Apr 18, 2025","680358cb9df201e2213704fe","35m 24s","$30.00/hr","$17.70","hubstaffOperation","-","processed"
"Apr 16, 2025","67fcb6131a24b93a8053442c","-","-","$8.25","missionReward","-","processed"
"Apr 9, 2025","67f77ae3f5084a04af0106ca","1h 52m 47s","$30.00/hr","$56.39","hubstaffOperation","-","processed"
"Mar 18, 2025","67da7a428aff37cb3af6ea70","1h 12m 9s","$30.00/hr","$36.07","hubstaffOperation","-","processed"
"Mar 11, 2025","67d13fda36322be15bb79385","2h 34m 4s","$30.00/hr","$77.03","hubstaffOperation","-","processed"
"Mar 9, 2025","67ce9d5bcb10f34d86fc0664","1h 9m 25s","$30.00/hr","$34.71","hubstaffOperation","-","processed"
"Mar 8, 2025","67cd4b1c30bf287d37edc38b","3h 56m 13s","$30.00/hr","$118.11","hubstaffOperation","-","processed"
"Mar 7, 2025","67cbf9587c322955cbbbf9b0","57m 35s","$30.00/hr","$28.79","hubstaffOperation","-","processed"
"Mar 2, 2025","67c5628d0cc028da7e7e2a36","2h 34m 37s","$30.00/hr","$77.31","hubstaffOperation","-","processed"
"Mar 1, 2025","67c411d02560f9f8fdb7e18d","3h 48m 4s","$30.00/hr","$114.03","hubstaffOperation","-","processed"
"Feb 28, 2025","67c411d09846ca72bda8a022","48m 45s","$30.00/hr","$24.38","hubstaffOperation","-","processed"
"Feb 24, 2025","67bd78ca1c0e827c74cac5d7","1h 0m 26s","$30.00/hr","$30.22","hubstaffOperation","-","processed"
"Feb 23, 2025","67bc277e049b50407575e482","4h 13m 42s","$30.00/hr","$126.85","hubstaffOperation","-","processed"
"Feb 22, 2025","67bad62da377d9541fb884f8","5h 39m 1s","$30.00/hr","$169.51","hubstaffOperation","-","processed"
"Feb 19, 2025","67b57520bdd0f96005d2f429","4m 44s","$4.95/hr","$0.39","overtimePay","mighty_moo","processed"
"Feb 19, 2025","67b57520bdd0f96005d2f429","50m ","$16.50/hr","$13.75","prepay","mighty_moo","processed"
"Feb 18, 2025","67b4c288acdb2016b27b783d","50m ","$4.95/hr","$4.13","trainingTask","mighty_moo","processed"
"Feb 17, 2025","67b36c3bee7d62d503a02309","-","-","$5.00","referralReward","-","processed"
"Feb 16, 2025","67b2ecf6234ffa5b41b75182","1h 46m 18s","$30.00/hr","$53.15","hubstaffOperation","-","processed"
"Feb 11, 2025","67abd5824248336463f1ac05","-","-","$400.00","bonusReward","-","processed"
"Feb 11, 2025","67abd4fec56a93d37ccf8c7c","-","-","$90.00","bonusReward","-","processed"
"Feb 9, 2025","679c6d453001a52a40d909d2","18m 55s","$8.25/hr","$2.60","overtimePay","ots_-_coding","processed"
"Feb 9, 2025","679c6d453001a52a40d909d2","45m ","$27.50/hr","$20.63","prepay","ots_-_coding","processed"
"Feb 5, 2025","67a46c9435a14c3191ff95a3","36m 15s","$30.00/hr","$18.13","hubstaffOperation","-","processed"
"Feb 4, 2025","67a31b4897328af2573bb58f","1h 9m 13s","$30.00/hr","$34.61","hubstaffOperation","-","processed"
"Feb 2, 2025","67a0781751f509aa8eb79fb9","57m 50s","$30.00/hr","$28.92","hubstaffOperation","-","processed"
"Jan 29, 2025","679b31dbdb6f889537d9f870","6h 56m 15s","$30.00/hr","$208.13","hubstaffOperation","-","processed"
"Jan 28, 2025","6799e0d6ade0fc09322e3ce3","3h 6m 3s","$30.00/hr","$93.03","hubstaffOperation","-","processed"
"Jan 24, 2025","67949b2be37678e8966a8b28","39m 36s","$30.00/hr","$19.80","hubstaffOperation","-","processed"
"Jan 23, 2025","679348e2213be93453aa785b","1h 44m 12s","$30.00/hr","$52.10","hubstaffOperation","-","processed"
"Jan 22, 2025","6791f7a6c22fd9c17055b297","35m 7s","$30.00/hr","$17.56","hubstaffOperation","-","processed"
"Jan 13, 2025","6784cd71eaece7ae0f9affa7","37m 29s","$7.50/hr","$4.69","trainingTask","multilingual_centralized_screening_-_training_tasks","processed"
"Jan 13, 2025","6784bc4dcf90a801ce96525c","40m ","$7.50/hr","$5.00","trainingTask","multilingual_centralized_screening_-_training_tasks","processed"
"Jan 13, 2025","6784b184a608ecdea5a6f674","40m ","$7.50/hr","$5.00","trainingTask","multilingual_centralized_screening_-_training_tasks","processed"
"Dec 30, 2024","676fa8e2ee995d77dd20fce1","-","-","$0.00","payAdjustment","ambassador_cafe","processed"
"Dec 29, 2024","676ffaf3cd4b7238bef50387","-","-","$13.75","missionReward","-","processed"
"Dec 29, 2024","676e0655c57249fe4eb0fc66","17m 3s","$8.25/hr","$2.34","overtimePay","ambassador_cafe","processed"
"Dec 29, 2024","676e0655c57249fe4eb0fc66","1h 3m ","$27.50/hr","$28.88","prepay","ambassador_cafe","processed"
"Dec 29, 2024","676f5d6fff165fc902f2129d","7m 26s","$8.25/hr","$1.02","overtimePay","ambassador_cafe","processed"
"Dec 29, 2024","676f5d6fff165fc902f2129d","1h 3m ","$27.50/hr","$28.88","prepay","ambassador_cafe","processed"
"Dec 28, 2024","676fa8e4013258d79c6c515d","30m 50s","$27.50/hr","$14.13","prepay","ambassador_cafe","processed"
"Dec 28, 2024","676fa8e776d0a6f8813be8b4","13m 41s","$8.25/hr","$1.88","overtimePay","ambassador_cafe","processed"
"Dec 28, 2024","676fa8e776d0a6f8813be8b4","1h 3m ","$27.50/hr","$28.88","prepay","ambassador_cafe","processed"
"Dec 28, 2024","676faa5d4756de9815986339","9m 33s","$8.25/hr","$1.31","overtimePay","ambassador_cafe","processed"
"Dec 28, 2024","676faa5d4756de9815986339","1h 3m ","$27.50/hr","$28.88","prepay","ambassador_cafe","processed"
"Dec 28, 2024","676f8133042b766fedca8364","16m 50s","$8.25/hr","$2.32","overtimePay","ambassador_cafe","processed"
"Dec 28, 2024","676f8133042b766fedca8364","48m ","$27.50/hr","$22.00","prepay","ambassador_cafe","processed"
"Dec 28, 2024","676ede87061d6a135f6366e5","-","-","$11.00","missionReward","-","processed"
"Dec 28, 2024","676f8130ddfbc66de350f84b","10m 12s","$8.25/hr","$1.40","overtimePay","ambassador_cafe","processed"
"Dec 28, 2024","676f8130ddfbc66de350f84b","1h 3m ","$27.50/hr","$28.88","prepay","ambassador_cafe","processed"
"Dec 28, 2024","676ede87061d6a135f6366e5","-","-","$22.00","missionReward","-","processed"
"Dec 28, 2024","676fa8e2ee995d77dd20fce1","2m 39s","$8.25/hr","$0.37","overtimePay","ambassador_cafe","processed"
"Dec 28, 2024","676fa8e2ee995d77dd20fce1","1h 3m ","$27.50/hr","$28.87","prepay","ambassador_cafe","processed"
"Dec 28, 2024","676f8129a03ac341829d9270","2m 42s","$8.25/hr","$0.37","overtimePay","ambassador_cafe","processed"
"Dec 28, 2024","676f8129a03ac341829d9270","1h 3m ","$27.50/hr","$28.88","prepay","ambassador_cafe","processed"
"Dec 28, 2024","676f81537a41353fcad519e8","1h 2m 30s","$27.50/hr","$28.65","prepay","ambassador_cafe","processed"
"Dec 28, 2024","676f5d657a41353fcad2d476","43s","$8.25/hr","$0.10","overtimePay","ambassador_cafe","processed"
"Dec 28, 2024","676f5d657a41353fcad2d476","1h 18m ","$27.50/hr","$35.75","prepay","ambassador_cafe","processed"
"Dec 27, 2024","676e2e8d1af2c57a28e5c7b8","-","-","$5.50","missionReward","-","processed"
"Dec 27, 2024","676ef799e2fc0cd442531e19","11m 10s","$8.25/hr","$1.54","overtimePay","ambassador_cafe","processed"
"Dec 27, 2024","676ef799e2fc0cd442531e19","33m ","$27.50/hr","$15.13","prepay","ambassador_cafe","processed"
